Date/Time;Profile;Account;Instrument;Position;Quantity;Average Price;Realized P/L
12/11/2020 8:15:05 AM;CQG;132313;MGCG21;Short;-1;1,844.40;$0.00
12/11/2020 8:10:34 AM;CQG;132313;MGCG21;Flat;0;;-$19.00
12/11/2020 8:08:39 AM;CQG;132313;MGCG21;Short;-1;1,844.40;$0.00
12/11/2020 8:08:37 AM;CQG;132313;MGCG21;Flat;0;;$0.00
12/11/2020 7:54:34 AM;CQG;132313;MGCG21;Short;-1;1,844.40;$0.00
12/11/2020 5:28:09 AM;CQG;132313;MGCG21;Flat;0;;-$17.00
12/11/2020 5:17:32 AM;CQG;132313;MGCG21;Long;1;1,832.00;$0.00
12/11/2020 4:58:31 AM;CQG;132313;MNQH21;Flat;0;;-$15.50
12/11/2020 4:42:39 AM;CQG;132313;MNQH21;Long;1;12,309.75;$0.00
12/11/2020 3:57:12 AM;CQG;132313;MESH21;Flat;0;;-$13.75
12/11/2020 3:52:22 AM;CQG;132313;MNQH21;Flat;0;;-$10.50
12/11/2020 3:52:12 AM;CQG;132313;MESH21;Long;1;3,641.00;$0.00
12/11/2020 3:51:39 AM;CQG;132313;MNQH21;Long;1;12,332.75;$0.00
12/11/2020 2:33:09 AM;CQG;132313;MESH21;Flat;0;;-$20.00
12/11/2020 2:30:24 AM;CQG;132313;MESH21;Long;1;3,644.25;$0.00
12/11/2020 2:18:39 AM;CQG;132313;MESH21;Flat;0;;-$3.75
12/11/2020 2:18:39 AM;CQG;132313;MNQH21;Flat;0;;-$12.00
12/11/2020 2:18:23 AM;CQG;132313;MNQH21;Long;1;12,355.50;$0.00
12/11/2020 2:15:18 AM;CQG;132313;MESH21;Long;1;3,652.25;$0.00
12/11/2020 2:10:14 AM;CQG;132313;MNQH21;Flat;0;;$17.50
12/11/2020 2:06:11 AM;CQG;132313;MESH21;Flat;0;;-$7.50
12/11/2020 2:00:49 AM;CQG;132313;MNQH21;Long;1;12,369.00;$0.00
12/11/2020 2:00:13 AM;CQG;132313;MESH21;Long;1;3,658.25;$0.00
12/10/2020 11:48:53 AM;CQG;132313;EPZ20;Flat;0;;-$225.00
12/10/2020 11:20:44 AM;CQG;132313;EPZ20;Long;1;3,668.00;$0.00
12/10/2020 10:54:55 AM;CQG;132313;MESZ20;Flat;0;;-$11.25
12/10/2020 10:54:34 AM;CQG;132313;MESZ20;Long;1;3,665.50;$0.00
12/10/2020 9:31:42 AM;CQG;132313;MGCG21;Flat;0;;-$20.00
12/10/2020 9:23:39 AM;CQG;132313;MGCG21;Long;1;1,844.60;$0.00
12/10/2020 7:52:44 AM;CQG;132313;MESZ20;Flat;0;;-$10.00
12/10/2020 7:52:17 AM;CQG;132313;MESZ20;Long;1;3,659.50;$0.00
12/10/2020 7:34:56 AM;CQG;132313;EPZ20;Flat;0;;-$300.00
12/10/2020 7:31:08 AM;CQG;132313;EPZ20;Long;1;3,666.00;$0.00
12/10/2020 6:33:19 AM;CQG;132313;MESZ20;Flat;0;;-$6.25
12/10/2020 6:29:50 AM;CQG;132313;MESZ20;Long;1;3,665.00;$0.00
12/10/2020 4:34:25 AM;CQG;132313;CLEF21;Flat;0;;-$350.00
12/10/2020 4:02:54 AM;CQG;132313;CLEF21;Long;1;45.84;$0.00
12/10/2020 2:52:21 AM;CQG;132313;MGCG21;Flat;0;;-$11.00
12/10/2020 2:51:41 AM;CQG;132313;MGCG21;Long;1;1,837.30;$0.00
12/9/2020 5:05:11 PM;CQG;132313;NQMF21;Flat;0;;$0.00
12/9/2020 2:25:30 PM;CQG;132313;MESZ20;Flat;0;;-$11.25
12/9/2020 1:01:03 PM;CQG;132313;MESZ20;Long;1;3,664.25;$0.00
12/9/2020 8:36:04 AM;CQG;132313;MGCG21;Flat;0;;-$14.00
12/9/2020 8:35:48 AM;CQG;132313;MGCG21;Long;1;1,855.30;$0.00
12/9/2020 8:31:28 AM;CQG;132313;MESZ20;Flat;0;;$1.25
12/9/2020 8:22:03 AM;CQG;132313;MGCG21;Flat;0;;$0.00
