date_in,date_out,price_in,price_out,profit,type,instrument
2020-12-18 06:00:00,2020-12-18 06:00:00,3716.25,3714.75,-7.5,long,MES
2020-12-18 07:35:00,2020-12-18 07:40:00,3711.0,3709.5,-7.5,long,MES
2020-12-18 07:45:00,2020-12-18 07:50:00,12746.75,12740.0,-13.5,long,MNQ
2020-12-18 07:45:00,2020-12-18 07:50:00,3705.75,3704.0,-8.75,long,MES
2020-12-18 07:50:00,2020-12-18 07:50:00,12735.75,12728.75,-14.0,long,MNQ
2020-12-18 08:05:00,2020-12-18 08:05:00,12706.0,12695.25,-21.5,long,MNQ
2020-12-18 08:05:00,2020-12-18 08:05:00,1889.3,1892.2,29.0,long,MGC
2020-12-18 09:15:00,2020-12-18 09:20:00,12679.0,12663.5,-31.0,long,MNQ
2020-12-18 13:05:00,2020-12-18 13:05:00,12661.25,12647.25,-28.0,long,MNQ
2020-12-20 23:05:00,2020-12-20 23:40:00,12755.75,12756.0,0.5,long,MNQ
2020-12-21 00:10:00,2020-12-21 00:20:00,3696.0,3696.25,1.25,long,MES
2020-12-21 00:15:00,2020-12-21 00:20:00,12725.25,12725.75,1.0,long,MNQ
2020-12-21 00:20:00,2020-12-21 00:20:00,12725.25,12726.0,1.5,long,MNQ
2020-12-21 00:55:00,2020-12-21 00:55:00,1906.8,1905.0,-18.0,long,MGC
2020-12-21 02:15:00,2020-12-21 02:30:00,12708.75,12700.0,-17.5,long,MNQ
2020-12-21 02:35:00,2020-12-21 02:45:00,3682.75,3679.75,-15.0,long,MES
2020-12-21 02:35:00,2020-12-21 02:45:00,12693.75,12680.0,-27.5,long,MNQ
2020-12-21 02:55:00,2020-12-21 03:05:00,1900.7,1900.8,1.0,long,MGC
2020-12-21 08:50:00,2020-12-21 08:55:00,12462.75,12463.0,0.5,long,MNQ
2020-12-21 08:55:00,2020-12-21 08:55:00,12463.0,12465.25,4.5,long,MNQ
2020-12-22 09:40:00,2020-12-22 09:40:00,12638.25,12621.75,-33.0,long,MNQ
2020-12-24 01:50:00,2020-12-24 02:20:00,3688.0,3691.5,17.5,long,MES
2020-12-24 02:10:00,2020-12-24 02:20:00,1882.1,1882.7,-6.0,short,MGC
2020-12-24 08:20:00,2020-12-24 08:25:00,1875.3,1873.9,-14.0,long,MGC
2020-12-24 09:00:00,2020-12-24 09:05:00,1881.0,1881.7,-7.0,short,MGC
2020-12-31 02:05:00,2020-12-31 02:05:00,3718.25,3719.75,7.5,long,MES
